age,rate
25,0.001014
26,0.000999
27,0.00107
28,0.001087
29,0.001162
30,0.001167
31,0.001213
32,0.001289
33,0.001331
34,0.001375
35,0.00142
36,0.00149
37,0.00155
38,0.001616
39,0.001657
40,0.001747
41,0.001902
42,0.002052
43,0.002173
44,0.002395
45,0.002559
46,0.002807
47,0.003023
48,0.003349
49,0.003712
50,0.004085
51,0.00449
52,0.004905
53,0.005364
54,0.005806
55,0.006253
56,0.006775
57,0.007395
58,0.007895
59,0.008418
60,0.008974
61,0.009666
62,0.010456
63,0.011384
64,0.011838
65,0.012667
66,0.013593
67,0.0147
68,0.015732
69,0.01734
70,0.018758
71,0.020967
72,0.022917
73,0.024913
74,0.026767
75,0.029707
76,0.032412
77,0.035982
78,0.039238
79,0.043595
80,0.048727
81,0.053735
82,0.059911
83,0.066618
84,0.074051
85,0.08219
86,0.090754
87,0.103968
88,0.115093
89,0.124341
90,0.137872
91,0.154177
92,0.172393
93,0.1941
94,0.212654
95,0.243752
96,0.259087
97,0.287781
98,0.316429
99,0.339149
